rounds,nl,sbox_name,hidden_size,avalanche_effect,is_random,plaintext_type,avg_cos,std_cos,bit_acc,avg_bit_acc,word_acc,total_samples
3,4,default_sbox,512,,True,random,0.5999654906047946,0.06429260523171862,51.34,51.34086879432624,0.0,141
4,0,perfectly_linear,1024,,True,random,0.791728247160193,0.05140456657730687,75.99,75.98625886524823,0.0,141
4,0,perfectly_linear,128,,True,random,0.8309950542479617,0.03947876486522265,77.22,77.21631205673759,0.0,141
4,0,perfectly_linear,256,,True,random,0.8633443046182036,0.03957435244795539,82.04,82.03679078014184,0.0,141
4,0,perfectly_linear,512,,True,random,0.8854441160064491,0.03706394829631299,85.58,85.58289007092199,0.0,141
4,2,nonlinearity_two,1024,,True,random,0.6945938108785222,0.04338142298570591,50.88,50.875443262411345,0.0,141
4,2,nonlinearity_two,128,,True,random,0.6744474203532098,0.04698544363628849,51.35,51.351950354609926,0.0,141
4,2,nonlinearity_two,256,,True,random,0.6714673336878182,0.051814542779288444,50.42,50.42109929078014,0.0,141
4,2,nonlinearity_two,512,,True,random,0.691166766594587,0.04387648566963918,49.66,49.656471631205676,0.0,141
4,4,default_sbox,1024,,True,random,0.6992535483265098,0.047633513114525496,49.91,49.9113475177305,0.0,141
4,4,default_sbox,128,,True,random,0.6773272712737223,0.053722583720077766,49.82,49.822695035460995,0.0,141
4,4,default_sbox,256,,True,random,0.6791799581446494,0.053006424606774856,49.93,49.933510638297875,0.0,141
4,4,default_sbox,512,,True,random,0.6927761106960139,0.05144350677019917,49.32,49.32402482269504,0.0,141
5,0,perfectly_linear,1024,,True,random,0.7221383458882606,0.041237555246046095,60.41,60.40558510638298,0.0,141
5,0,perfectly_linear,128,,True,random,0.7640368971010686,0.04277233724035561,68.34,68.33998226950355,0.0,141
5,0,perfectly_linear,256,,True,random,0.7754869327069571,0.04347087701573831,70.73,70.73359929078015,0.0,141
5,0,perfectly_linear,512,,True,random,0.7116516263980328,0.05026052071514344,63.21,63.209219858156025,0.0,141
5,2,nonlinearity_two,1024,,True,random,0.7082879842255825,0.04439678938103728,50.85,50.853280141843975,0.0,141
5,2,nonlinearity_two,128,,True,random,0.6977839324708024,0.04659440885454141,49.98,49.97783687943262,0.0,141
5,2,nonlinearity_two,256,,True,random,0.7010565639539033,0.04613594895949705,49.25,49.24645390070922,0.0,141
5,2,nonlinearity_two,512,,True,random,0.706559866609356,0.044561730997757926,50.06,50.05540780141844,0.0,141
5,4,default_sbox,1024,,True,random,0.6969476745881656,0.046560709988077036,49.77,49.767287234042556,0.0,141
5,4,default_sbox,128,,True,random,0.6924645817614414,0.04651775033136496,50.59,50.58732269503546,0.0,141
5,4,default_sbox,256,,True,random,0.694008438246627,0.0463711852550427,49.99,49.988918439716315,0.0,141
5,4,default_sbox,512,,True,random,0.6941522940288231,0.04762319676354496,49.16,49.15780141843972,0.0,141
